table_name,column_name,data_type,status,null_count,null_pct,distinct_count
fct_avaibility_part,station_code,int64,NO_CHECKS,0,0.0,1460
fct_avaibility_part,station_name,string,ERROR,0,0.0,1457
fct_avaibility_part,capacity,int64,NO_CHECKS,0,0.0,66
fct_avaibility_part,docks_available,int64,NO_CHECKS,0,0.0,72
fct_avaibility_part,mechanical,int64,NO_CHECKS,0,0.0,64
fct_avaibility_part,ebike,int64,NO_CHECKS,0,0.0,35
fct_avaibility_part,duedate,"datetime(time_unit='ns', time_zone='utc')",OK,0,0.0,9934
fct_avaibility_part,bikes_available,int64,ERROR,0,0.0,72
fct_avaibility_part,rate_bike_available,float64,NO_CHECKS,0,0.0,1037
fct_avaibility_part,rate_dock_available,float64,NO_CHECKS,0,0.0,1042
fct_avaibility_part,bikes_out_of_order,int64,NO_CHECKS,0,0.0,41
fct_avaibility_part,collected_at,"datetime(time_unit='ns', time_zone=none)",OK,0,0.0,2606
fct_avaibility_part,rounded_collected_at,"datetime(time_unit='ns', time_zone=none)",OK,0,0.0,2606
